siteID,siteID,distance
ACT,TRS,487.091
ACT,TRT,422.173
ACT,TUN,33.6653
ACT,TZC,41.4218
ACT,TZM,68.0569
ACT,TZN,476.743
ACT,UAX,354.463
ACT,UAY,167.081
ACT,UCN,421.482
ACT,UKM,63.745
ACT,UOL,379.44
ACT,UXB,490.227
ACT,UXL,300.234
ACT,UXM,28.3181
ACT,UYM,60.5598
ACT,XBU,5.31531
ACT,XCA,69.267
ACT,XCK,50.1672
ACT,XCL,43.5963
ACT,XCR,43.3958
ACT,XCS,2.11816
ACT,XKB,48.1193
ACT,XKM,86.6154
ACT,XLM,45.8912
ACT,XNC,39.538
ACT,XNH,479.505
ACT,XTB,77.1139
ACT,XTL,490.13
ACT,XUL,347.615
ACT,XUN,396.261
ACT,XUP,412.339
ACT,YAX,423.686
ACT,YKL,61.7154
ACT,YLT,417.595
ACT,YOK,160.972
ACT,YTM,481.717
ACT,YUL,140.407
ACT,YXH,393.223
ACT,YXL,54.5857
ACT,YXM,58.2163
ACT,YXP,30.2537
ACT,ZAP,396.201
ACT,ZPT,399.764
ACT,ZTZ,370.494
AGC,AGT,28.2558
AGC,ALC,198.167
AGC,ALH,252.562
AGC,ALM,179.361
AGC,ALR,188.38
AGC,ALS,19.9949
AGC,ALV,323.942
AGC,AMC,401.044
AGC,AML,8.458
AGC,ANL,31.3332
AGC,ARP,18.9083
AGC,ATE,73.0845
AGC,BCN,236.131
AGC,BJC,101.589
AGC,BKP,161.805
AGC,BLK,167.625
AGC,BLN,398.148
AGC,BME,166.69
AGC,BNN,148.438
AGC,BPK,74.2459
AGC,CAB,139.819
AGC,CAY,103.677
AGC,CCA,164.774
AGC,CCB,374.854
AGC,CCN,148.424
AGC,CDZ,158.957
AGC,CHC,228.734
AGC,CHI,448.043
AGC,CHL,77.8528
AGC,CHM,175.399
AGC,CHN,494.37
AGC,CHP,152.604
AGC,CHT,252.192
AGC,CHY,156.578
AGC,CKL,158.328
AGC,CKM,414.132
AGC,CLB,366.718
AGC,CLK,179.988
AGC,CML,354.031
AGC,CMT,188.46
AGC,CNB,414.9
AGC,CNC,72.6694
AGC,CNJ,58.9637
AGC,CNK,155.477
AGC,CNS,367.724
AGC,CNZ,139.456
AGC,COB,519.516
AGC,CPH,403.196
AGC,CPN,234.921
AGC,CRC,136.753
AGC,CRN,106.554
AGC,CRO,21.6211
AGC,CRZ,112.513
AGC,CTN,409.778
AGC,CZP,88.9729
AGC,DBC,508.903
AGC,DBN,337.825
AGC,DCB,66.832
AGC,DPL,17.8697
AGC,DZB,310.121
AGC,DZC,404.693
AGC,DZK,345.078
AGC,DZL,544.563
AGC,EDZ,335.818
AGC,EKB,548.295
AGC,ENC,117.216
AGC,FLD,88.0673
AGC,FLS,64.8961
AGC,HBM,386.626
AGC,HCH,320.953
AGC,HIG,238.617
AGC,HLK,496.705
AGC,HLL,392.186
AGC,HLM,142.983
AGC,HLT,403.967
AGC,HNT,402.063
AGC,HNY,122.482
AGC,HRZ,163.001
AGC,HTZ,475.457
AGC,HUA,68.9244
AGC,ICC,406.198
AGC,ICP,318.013
AGC,IKL,477.973
AGC,ITB,388.14
AGC,ITN,10.8986
AGC,ITS,43.7064
AGC,IXK,102.865
AGC,IXL,86.1017
AGC,IXT,105.336
AGC,IXZ,97.6507
AGC,JAI,403.991
AGC,JLN,223.563
AGC,JMB,114.266
AGC,JNT,252.256
AGC,JOY,72.0799
AGC,JUL,85.4803
AGC,KAB,415.195
AGC,KCB,460.728
AGC,KIN,62.8891
AGC,KND,216.238
AGC,KPH,252.59
AGC,KUC,400.958
AGC,KYL,344.323
AGC,LAB,408.181
AGC,LAC,77.5449
AGC,LAG,242.989
AGC,LAM,226.06
AGC,LBT,159.965
AGC,LGP,58.7458
AGC,LOL,419.788
AGC,LPM,340.694
AGC,MAR,108.837
AGC,MCA,199.685
AGC,MCG,423.024
AGC,MCW,143.866
AGC,MLC,422.675
AGC,MLP,201.085
AGC,MLS,415.063
AGC,MNG,375.355
AGC,MPL,462.486
AGC,MPN,472.142
AGC,MQL,61.5412
AGC,MRF,225.447
AGC,MRL,166.906
AGC,MTL,69.6219
AGC,MTR,81.0742
AGC,MXC,447.542
AGC,NAR,134.345
AGC,NAY,108.287
AGC,NCC,411.788
AGC,NCT,157.975
AGC,NKM,123.369
AGC,NMP,168.362
AGC,NPT,494.264
AGC,NTN,123.814
AGC,OAG,193.014
AGC,OXK,446.568
AGC,OXL,80.9344
AGC,OXP,208.3
AGC,PAB,21.2263
AGC,PAL,200.95
AGC,PAT,22.814
AGC,PBT,152.203
AGC,PBX,285.463
AGC,PCL,270.117
AGC,PCR,234.835
AGC,PIX,364.89
AGC,PJR,61.6209
AGC,PLC,568.061
AGC,PLM,200.716
AGC,PMA,52.3667
AGC,PMC,392.967
AGC,PMT,160.138
AGC,PNG,112.612
AGC,POL,38.061
AGC,PRU,76.3349
AGC,PSD,86.435
AGC,PUS,144.569
AGC,PVR,118.549
AGC,QRG,204.534
AGC,RAM,238.933
AGC,RAZ,177.384
AGC,RBC,222.599
AGC,REJ,129.892
AGC,RFM,406.325
AGC,RNC,398.001
AGC,RSB,295.947
AGC,SAY,408.572
AGC,SBL,31.9017
